X1,X2,y,y_flipped,y_log,
0.319403889,0.762959374,1.32E-79,-1.32E-79,-27.35445908,0
0.574329215,0.879898105,1.03E-46,-1.03E-46,-27.35445908,1
0.731023631,0.732999876,7.71E-16,-7.71E-16,-15.11289633,2
0.840353417,0.264731614,3.34E-124,-3.34E-124,-27.35445908,3
0.65011406,0.681526352,-0.003606063,0.003606063,-2.442966733,4
0.410437137,0.147554299,-2.16E-54,2.16E-54,-27.35445908,5
0.312691157,0.078722778,-2.09E-91,2.09E-91,-27.35445908,6
0.683418169,0.861057464,2.54E-40,-2.54E-40,-27.35445908,7
0.082507252,0.403487506,3.61E-81,-3.61E-81,-27.35445908,8
0.883889829,0.582253974,6.23E-48,-6.23E-48,-27.35445908,9
0.313131,0.333333,9.65E-15,-9.65E-15,-14.01542521,10
0.515151,0.878787,1.04E-53,-1.04E-53,-27.35445908,11
0.636364,0.676768,-0.014641144,0.014641144,-1.83442498,12
0.192105,0.571053,-7.31E-53,7.31E-53,-27.35445908,13
,,,,,
,,,,,
,"[0.602, 0.361]",,,,
